event_slug,market_label,token_id,factor,horizon_seconds,valid_rows,nonzero_rows,spearman_ic,nonzero_hit_rate,average_win_move,average_loss_move,zero_return_share,top_minus_bottom
highest-temperature-in-jeddah-on-june-10-2026,36°C,48959335761566002743740817086164833130201526242106480675798336285859425044322,depth_imbalance_1,30,152275,47158,0.07740756888178082,0.5204631239662412,0.0028756518904823995,0.00369941186875387,0.6713905762600558,0.00011094655103659478
highest-temperature-in-jeddah-on-june-10-2026,36°C,48959335761566002743740817086164833130201526242106480675798336285859425044322,depth_imbalance_1,120,152128,70380,0.09570846683225266,0.5270957658425689,0.00403698412270534,0.005024952678544603,0.5108855700462768,-0.0002961325236857151
highest-temperature-in-jeddah-on-june-10-2026,36°C,48959335761566002743740817086164833130201526242106480675798336285859425044322,depth_imbalance_1,600,150365,107577,0.1487778835333285,0.5539009267780287,0.0059821689294644815,0.006891925401125236,0.23903834003923785,6.268811193321094e-06
highest-temperature-in-jeddah-on-june-10-2026,37°C or higher,93314877060076067465440141315837237957180407162078647564316705053484938607075,depth_imbalance_1,30,125110,53888,0.09827864990275172,0.5815580463182898,0.0018792718338172874,0.0018842742471949947,0.5592358724322596,0.0004116565469454212
highest-temperature-in-jeddah-on-june-10-2026,37°C or higher,93314877060076067465440141315837237957180407162078647564316705053484938607075,depth_imbalance_1,120,125108,70972,0.15102534464643444,0.5995181198219016,0.002613939223013464,0.0033328642296731508,0.4149215078172459,0.0003024802218242468
highest-temperature-in-jeddah-on-june-10-2026,37°C or higher,93314877060076067465440141315837237957180407162078647564316705053484938607075,depth_imbalance_1,600,125092,97438,0.12585702419946626,0.5655596379236028,0.005013292322209515,0.0072382769129007,0.19520033255523933,-0.0014119400073168437
highest-temperature-in-wuhan-on-june-6-2026,26°C or below,56493812022355324691634786479212484037603336652996779203554906542643201524938,depth_imbalance_1,30,1388,26,-0.051772546008567566,0.4230769230769231,0.0005000000000000001,0.0005000000000000002,0.9812680115273775,0.0
highest-temperature-in-wuhan-on-june-6-2026,26°C or below,56493812022355324691634786479212484037603336652996779203554906542643201524938,depth_imbalance_1,120,1385,41,-0.10146629398541542,0.2682926829268293,0.0005000000000000001,0.0005000000000000001,0.9703971119133574,0.0
highest-temperature-in-wuhan-on-june-6-2026,26°C or below,56493812022355324691634786479212484037603336652996779203554906542643201524938,depth_imbalance_1,600,1354,198,-0.20946730867580787,0.41414141414141414,0.0005000000000000001,0.0005000000000000002,0.8537666174298375,-2.9542097488921716e-06
highest-temperature-in-wuhan-on-june-6-2026,27°C,26834683314653971757232684288076975949757984206956138938838351738123436725964,depth_imbalance_1,30,1254,11,-0.12840545877282092,0.09090909090909091,0.0005,0.0005000000000000001,0.9912280701754386,-2.994011976047904e-05
highest-temperature-in-wuhan-on-june-6-2026,27°C,26834683314653971757232684288076975949757984206956138938838351738123436725964,depth_imbalance_1,120,1241,16,-0.11353520313660953,0.25,0.0005,0.0005000000000000001,0.9871071716357775,-3.592814371257485e-05
highest-temperature-in-wuhan-on-june-6-2026,27°C,26834683314653971757232684288076975949757984206956138938838351738123436725964,depth_imbalance_1,600,1224,57,-0.09697776644233835,0.543859649122807,0.0005000000000000001,0.0005,0.9534313725490197,-6.000842351993262e-05
highest-temperature-in-wuhan-on-june-6-2026,28°C,21340344074515755269946866045577718896533207418762275461793978287243741313092,depth_imbalance_1,30,4165,67,0.12381664248437266,0.8805970149253731,0.0005593220338983047,0.004249999999999999,0.9839135654261705,2.1396396396396382e-05
highest-temperature-in-wuhan-on-june-6-2026,28°C,21340344074515755269946866045577718896533207418762275461793978287243741313092,depth_imbalance_1,120,4149,166,0.21235769220988265,0.5060240963855421,0.000845238095238095,0.0013231707317073172,0.9599903591226802,9.909909909909908e-05
highest-temperature-in-wuhan-on-june-6-2026,28°C,21340344074515755269946866045577718896533207418762275461793978287243741313092,depth_imbalance_1,600,4121,358,0.29796349307936987,0.5307262569832403,0.0010184210526315788,0.002241071428571429,0.9131278815821403,0.0004893018018018019
highest-temperature-in-wuhan-on-june-6-2026,29°C,57499793867109589305877240276977243433763370178732773984104675448784308274609,depth_imbalance_1,30,5294,81,0.04784736947488684,0.7901234567901234,0.003992187500000001,0.0035294117647058816,0.9846996599924442,0.00010632542978667513
highest-temperature-in-wuhan-on-june-6-2026,29°C,57499793867109589305877240276977243433763370178732773984104675448784308274609,depth_imbalance_1,120,5288,203,0.11746202020980151,0.8522167487684729,0.004294797687861273,0.003416666666666667,0.9549924357034796,0.0003905575690328914
highest-temperature-in-wuhan-on-june-6-2026,29°C,57499793867109589305877240276977243433763370178732773984104675448784308274609,depth_imbalance_1,600,5233,657,0.19672244197972916,0.8462709284627092,0.004948741007194246,0.0042079207920792065,0.8356583221861265,0.001125990103715687
highest-temperature-in-wuhan-on-june-6-2026,30°C,3205416344636038374735918321569079985065016920679902023417521858110205582750,depth_imbalance_1,30,21889,1090,0.09893530274616591,0.46055045871559636,0.0016902390438247017,0.0031360544217687077,0.9501119283658459,-0.00018924768235072405
highest-temperature-in-wuhan-on-june-6-2026,30°C,3205416344636038374735918321569079985065016920679902023417521858110205582750,depth_imbalance_1,120,21812,2117,0.05036923518591951,0.5323571091166746,0.0017604259094942325,0.00495,0.9028057949752429,-0.0008321845111058413
highest-temperature-in-wuhan-on-june-6-2026,30°C,3205416344636038374735918321569079985065016920679902023417521858110205582750,depth_imbalance_1,600,21538,4970,-0.05259476042734848,0.5269617706237425,0.0022212676594119897,0.003149298170991068,0.7691057665521404,-0.0010946510355088028
highest-temperature-in-wuhan-on-june-6-2026,31°C,20467373318751075405318222371503807162421404775779309012454995116029541441980,depth_imbalance_1,30,45635,16229,0.06051034216439165,0.5631893523938628,0.0030858315098468273,0.0030153759345464813,0.6380848033307768,0.00041690022356481206
highest-temperature-in-wuhan-on-june-6-2026,31°C,20467373318751075405318222371503807162421404775779309012454995116029541441980,depth_imbalance_1,120,45476,22060,0.10921077986760605,0.584950135992747,0.003955285182889027,0.003675021843599825,0.5076303984519307,0.001636477626974703
