event_slug,city,event_date,cohort,sample_activity,token_id,factor,horizon_seconds,lifecycle_bucket,rows,valid_rows,coverage,zero_rate,ic,crossing_markout
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,900,6-24h,32436,30287,0.9337464545566654,0.1733747152243537,0.0026844204639179,-0.0271834188317061
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,depth_imbalance_1,900,>24h,12349,12349,1.0,0.4755850676168111,-0.0271847778909783,-0.0121505464705398
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,30,all,44785,44695,0.99799039857095,0.6179885893276653,0.014031792216014,-0.0205787644354748
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,30,6-24h,32436,32346,0.9972253052164262,0.564366536820627,0.0006563268631497,-0.0238960958543608
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,30,>24h,12349,12349,1.0,0.75844197910762,0.0720682930152814,-0.0118648340923877
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,60,all,44785,44638,0.9967176509992184,0.552690532729961,0.0061236779013807,-0.0204805671561363
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,60,6-24h,32436,32289,0.9954679985201628,0.4846232463067917,-0.0018574981714732,-0.0237869393958191
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,60,>24h,12349,12349,1.0,0.730666450724755,0.0525879764527705,-0.0118107514638906
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,120,all,44785,44422,0.9918946075694988,0.4525010130115708,-0.0246564735243346,-0.0207518162537791
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,42131479452771174452734651970980678998744861425723702313108406384374737523614,microprice_minus_mid,120,6-24h,32436,32073,0.9888087310395856,0.3632026938546441,-0.0227203097475984,-0.0241707362767751
