event_slug,city,event_date,cohort,factor,horizon_seconds,lifecycle_bucket,ic,zero_rate,crossing_markout,coverage,tokens
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,60,1-6h,0.056266203807055104,0.8247422680412371,-0.0026052673969072003,0.3791049508538298,4
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,60,6-24h,0.04853729950376132,0.7920697283270559,-0.007828860209824878,0.9979613408821666,9
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,60,>24h,0.08080419024523272,0.853272698824978,-0.006141752262515754,0.9995617841104919,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,60,all,0.07236535271526652,0.8390714051346246,-0.006522412878023545,0.999215050534212,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,120,1-6h,0.10553920799066235,0.7483086340206185,-0.0025670505798969,0.3791049508538298,4
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,120,6-24h,0.0520130069554408,0.7478436361751153,-0.007890304421338855,0.9967838708960269,9
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,120,>24h,0.08513484430006114,0.816256725586702,-0.006083524069632418,0.999162716069194,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,120,all,0.07622628099928408,0.8022240974709671,-0.006501811349619463,0.9986079757365469,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,300,1-6h,0.07262344654609004,0.6287328490718321,-0.0025537732041969,0.3575214023644517,4
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,300,6-24h,0.0328194307055117,0.6698896020982816,-0.0092387372630208,0.992729097966516,9
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,300,>24h,0.07973099209126733,0.7492942121849843,-0.005941735528807127,0.9989667840066584,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,300,all,0.07469566231715487,0.735553898448758,-0.006842410188001836,0.9979009619924258,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,600,1-6h,0.08020128268616254,0.45622304683582393,-0.002552941028984,0.3384517823979707,4
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,600,6-24h,0.049318686727171275,0.6069323283487218,-0.009985504477050332,0.9480262666970124,9
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,600,>24h,0.09170948120906507,0.6876663466226697,-0.0057424846890737095,0.9985468868670057,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,600,all,0.09091483533417569,0.6726915936721765,-0.0069730661638013275,0.9952956431827573,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,900,1-6h,-0.20232824657665083,0.11384569377990425,-0.0025993122009569,0.3092924763328351,4
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,900,6-24h,0.0333752958586048,0.5568025260979511,-0.010747512606026945,0.9390262975051241,9
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,900,>24h,0.09709452976041266,0.6428005723471585,-0.0055422487308749,0.9981435888629242,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,microprice_minus_mid,900,all,0.08861722949690419,0.626066711434201,-0.007082009668724546,0.9941681691077245,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,30,1-6h,,1.0,-0.002,0.8894736842105263,1
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,30,6-24h,0.08327819947028721,0.7334239008696005,-0.011465868664964211,0.9950496049887978,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,30,>24h,0.090941132363751,0.8179152493018328,-0.008165172126862836,0.9997483620662835,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,30,all,0.07898127068228802,0.7557248900501453,-0.010513685847496483,0.9978205961373923,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,60,1-6h,,1.0,-0.002,0.7947368421052632,1
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,60,6-24h,0.10071856801849224,0.6768718053366798,-0.011245166097902446,0.9911939245040959,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,60,>24h,0.10058372668733946,0.7623240820961336,-0.008112701435911264,0.9995966318070846,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,60,all,0.09184317145907918,0.696843218148805,-0.010348732234863474,0.9960894818068554,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,120,1-6h,,1.0,-0.002,0.5473684210526316,1
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,120,6-24h,0.10837117057964987,0.6183788429669835,-0.010866085940985128,0.9840413119615423,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,120,>24h,0.11167199103758842,0.7035750621714676,-0.007994841410551899,0.9994798555432802,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,120,all,0.10383837974444124,0.6359922841754266,-0.010026569517111518,0.9931543575391687,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,300,1-6h,,,,0.0,1
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,300,6-24h,0.1289026612160588,0.5379242352190666,-0.010837719670430245,0.9756739664905729,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,300,>24h,0.12762605947593875,0.5869298364439174,-0.007793902084650237,0.9988393952375971,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,300,all,0.12189808932940137,0.5332343871939116,-0.00991919259722701,0.9888834561930825,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,600,1-6h,,,,0.0,1
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,600,6-24h,0.10749805371372682,0.4786834606072535,-0.010790978741004263,0.9667334291783228,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,600,>24h,0.1540752772908066,0.4647243607600458,-0.007597172176680155,0.997879237816631,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,600,all,0.12947526328216655,0.4383621261665704,-0.0097444575799974,0.9846954108455844,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,900,1-6h,,,,0.0,1
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,900,6-24h,0.09908891668759308,0.44781994683412046,-0.011137329251761382,0.9604288260639687,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,900,>24h,0.16495169520421304,0.39848085232965735,-0.0074542999926859,0.9971874482145708,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,depth_imbalance_1,900,all,0.1351651677134639,0.38852625631218113,-0.009785866861126036,0.9812194267999925,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,30,1-6h,,1.0,-0.002,0.8894736842105263,1
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,30,6-24h,0.06452938080305115,0.7334239008696005,-0.011477358324131364,0.9950496049887978,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,30,>24h,0.08629580743822908,0.8179152493018328,-0.008173936939754609,0.9997483620662835,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,30,all,0.0700628605035454,0.7557248900501453,-0.010525948126103827,0.9978205961373923,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,60,1-6h,,1.0,-0.002,0.7947368421052632,1
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,60,6-24h,0.07377535296754405,0.6768718053366798,-0.011256421508888663,0.9911939245040959,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,60,>24h,0.09969196768555368,0.7623240820961336,-0.008122109584517272,0.9995966318070846,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,60,all,0.08248256940763117,0.696843218148805,-0.010361076811735119,0.9960894818068554,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,120,1-6h,,1.0,-0.002,0.5473684210526316,1
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,120,6-24h,0.07475428615890692,0.6183788429669835,-0.01087679793541871,0.9840413119615423,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,120,>24h,0.10691368120881112,0.7035750621714676,-0.008003844195868118,0.9994798555432802,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,120,all,0.09023288301096734,0.6359922841754266,-0.010038447083076855,0.9931543575391687,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,300,1-6h,,,,0.0,1
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,300,6-24h,0.08385762554983114,0.5379242352190666,-0.010834541394742499,0.9756739664905729,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,300,>24h,0.11329751397982914,0.5869298364439174,-0.007802915835902018,0.9988393952375971,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,300,all,0.10158633213040114,0.5332343871939116,-0.00992245309276271,0.9888834561930825,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,600,1-6h,,,,0.0,1
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,600,6-24h,0.05243600060992293,0.4786834606072535,-0.01078152310872192,0.9667334291783228,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,600,>24h,0.12941830164174145,0.4647243607600458,-0.0076031450434111,0.997879237816631,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,600,all,0.10407468631113587,0.4383621261665704,-0.009742498183568964,0.9846954108455844,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,900,1-6h,,,,0.0,1
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,900,6-24h,0.04727300820832039,0.44781994683412046,-0.011119069637496981,0.9604288260639687,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,900,>24h,0.1406825738479935,0.39848085232965735,-0.0074585625718549455,0.9971874482145708,11
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,microprice_minus_mid,900,all,0.11048113241392375,0.38852625631218113,-0.009777976808694765,0.9812194267999925,11
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,30,1-6h,,,,0.0,1
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,30,6-24h,0.11119733135697732,0.7851423268825687,-0.010487656499984701,0.997457038872508,10
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,30,>24h,0.036436381134084754,0.8687048718731748,-0.006715073119479883,0.9996097082849211,11
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,30,all,0.06791091992717929,0.8203402818282645,-0.008758948817754745,0.9987059216984769,11
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,60,1-6h,,,,0.0,1
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,60,6-24h,0.1308371126883621,0.7416119384509999,-0.010312716737406271,0.9961699546695568,10
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,60,>24h,0.04936790315775544,0.8338452664140974,-0.006681209383723246,0.999478585522077,11
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,60,all,0.08423891487664624,0.7809346834451482,-0.008637504810035999,0.9981140863114145,11
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,120,1-6h,,,,0.0,1
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,120,6-24h,0.15509266106315173,0.6941798579071993,-0.01033726307362385,0.9920862142317814,10
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,120,>24h,0.05419803957968654,0.7814282325135028,-0.006666081618701672,0.9993643117550103,11
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,120,all,0.0970621176926631,0.7322809845862868,-0.008638753017510837,0.9962396741065852,11
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,300,1-6h,,,,0.0,1
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,300,6-24h,0.18269278197937475,0.6057087301395587,-0.010219099308469221,0.9832895071269967,10
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,300,>24h,0.0636520494445309,0.7019255062216279,-0.006556722064315091,0.9991734712752421,11
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,300,all,0.11410092553298332,0.6501467134030448,-0.008522820537733782,0.9924069127599754,11
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,600,1-6h,,,,0.0,1
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,600,6-24h,0.20539838181558595,0.5218849885558238,-0.0101835715122015,0.9829543851126061,10
highest-temperature-in-buenos-aires-on-june-9-2026,Buenos Aires,2026-06-09,clean,depth_imbalance_1,600,>24h,0.053731559389768306,0.6320303813600519,-0.006479496733816081,0.9989570092125933,11
