event_slug,city,event_date,cohort,timestamp,lifecycle_bucket,expected_outcomes,observable_outcomes,valid_outcomes,complete_outcomes,sum_mid,sum_deviation,max_bbo_age_seconds,median_bbo_age_seconds,max_spread,median_spread,outcome_source_span_seconds,event_has_tick_size_conflict,sum_best_bid,sum_best_ask
highest-temperature-in-tel-aviv-on-june-7-2026,Tel Aviv,2026-06-07,degraded,2026-06-06 04:20:00+00:00,>24h,11,11,10,False,1.1450000000000002,0.14500000000000024,41.845,36.095,0.15,0.04499999999999999,16.422,False,0.8600000000000001,1.4300000000000002
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-09 05:11:00+00:00,>24h,11,10,10,False,0.8549999999999999,-0.14500000000000013,2.516,1.3385,0.04999999999999999,0.005500000000000001,1.448,True,0.795,0.915
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 10:26:00+00:00,>24h,11,10,10,False,0.855,-0.14500000000000002,15.009,6.273,0.11000000000000001,0.04,14.223,True,0.662,1.048
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,clean,2026-06-05 04:55:00+00:00,>24h,11,11,9,False,1.145,0.14500000000000002,916.379,2.107,0.12,0.020000000000000018,915.924,False,0.99,1.3
highest-temperature-in-warsaw-on-june-7-2026,Warsaw,2026-06-07,clean,2026-06-06 04:22:00+00:00,>24h,11,11,3,False,0.855,-0.14500000000000002,12.719,9.912,0.39,0.39,5.447,False,0.27,1.44
highest-temperature-in-jeddah-on-june-6-2026,Jeddah,2026-06-06,degraded,2026-06-06 08:52:00+00:00,6-24h,11,11,11,True,1.145,0.14500000000000002,45390.937,7350.134,0.16999999999999998,0.002,45389.855,False,0.958,1.3319999999999999
highest-temperature-in-wellington-on-june-9-2026,Wellington,2026-06-09,clean,2026-06-07 04:34:00+00:00,>24h,11,11,4,False,0.855,-0.14500000000000002,8.228,8.219000000000001,0.38,0.345,0.017,False,0.17,1.54
highest-temperature-in-warsaw-on-june-7-2026,Warsaw,2026-06-07,clean,2026-06-06 04:42:00+00:00,>24h,11,11,10,False,1.145,0.14500000000000002,395.576,7.5165,0.08000000000000002,0.020499999999999997,395.252,False,1.003,1.287
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,2026-06-08 18:19:00+00:00,>24h,11,11,11,True,1.145,0.14500000000000002,22888.83,2.414,0.040000000000000036,0.001,22888.071,False,1.1019999999999999,1.188
highest-temperature-in-paris-on-june-10-2026,Paris,2026-06-10,clean,2026-06-08 05:46:00+00:00,>24h,11,11,11,True,1.145,0.14500000000000002,26.221,26.067,0.13,0.060000000000000005,23.541,False,0.797,1.493
highest-temperature-in-paris-on-june-10-2026,Paris,2026-06-10,clean,2026-06-08 05:45:00+00:00,>24h,11,11,11,True,1.145,0.14500000000000002,5.895,3.359,0.13,0.060000000000000005,4.933,False,0.797,1.493
