event_slug,city,event_date,timestamp,snapshot,market_index,market_label,temperature_bin,raw_mid,normalized_probability
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-05 07:41:00+00:00,T-48,2.0,82-83°F,82.0,0.0055,0.005121042830540037
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-05 07:41:00+00:00,T-48,3.0,84-85°F,84.0,0.008,0.0074487895716946
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-05 07:41:00+00:00,T-48,4.0,86-87°F,86.0,0.033,0.030726256983240222
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-05 07:41:00+00:00,T-48,5.0,88-89°F,88.0,0.155,0.14432029795158285
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-05 07:41:00+00:00,T-48,6.0,90-91°F,90.0,0.35,0.32588454376163867
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-05 07:41:00+00:00,T-48,7.0,92-93°F,92.0,0.345,0.3212290502793296
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-05 07:41:00+00:00,T-48,8.0,94-95°F,94.0,0.13,0.12104283054003724
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-05 07:41:00+00:00,T-48,9.0,96-97°F,96.0,0.031,0.02886405959031657
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-05 07:41:00+00:00,T-48,10.0,98°F or higher,98.0,0.0055,0.005121042830540037
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-06 07:41:00+00:00,T-24,0.0,79°F or below,79.0,0.002,0.001953125
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-06 07:41:00+00:00,T-24,1.0,80-81°F,80.0,0.0015,0.00146484375
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-06 07:41:00+00:00,T-24,2.0,82-83°F,82.0,0.0015,0.00146484375
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-06 07:41:00+00:00,T-24,3.0,84-85°F,84.0,0.004,0.00390625
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-06 07:41:00+00:00,T-24,4.0,86-87°F,86.0,0.023,0.0224609375
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-06 07:41:00+00:00,T-24,5.0,88-89°F,88.0,0.125,0.1220703125
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-06 07:41:00+00:00,T-24,6.0,90-91°F,90.0,0.35,0.34179687499999994
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-06 07:41:00+00:00,T-24,7.0,92-93°F,92.0,0.405,0.3955078125
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-06 07:41:00+00:00,T-24,8.0,94-95°F,94.0,0.09,0.087890625
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-06 07:41:00+00:00,T-24,9.0,96-97°F,96.0,0.0175,0.01708984375
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-06 07:41:00+00:00,T-24,10.0,98°F or higher,98.0,0.0045000000000000005,0.00439453125
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 01:41:00+00:00,T-6,0.0,79°F or below,79.0,0.0015,0.001477832512315271
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 01:41:00+00:00,T-6,1.0,80-81°F,80.0,0.0015,0.001477832512315271
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 01:41:00+00:00,T-6,2.0,82-83°F,82.0,0.0015,0.001477832512315271
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 01:41:00+00:00,T-6,3.0,84-85°F,84.0,0.0015,0.001477832512315271
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 01:41:00+00:00,T-6,4.0,86-87°F,86.0,0.0015,0.001477832512315271
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 01:41:00+00:00,T-6,5.0,88-89°F,88.0,0.0015,0.001477832512315271
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 01:41:00+00:00,T-6,6.0,90-91°F,90.0,0.002,0.001970443349753695
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 01:41:00+00:00,T-6,7.0,92-93°F,92.0,0.9984999999999999,0.983743842364532
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 01:41:00+00:00,T-6,8.0,94-95°F,94.0,0.0015,0.001477832512315271
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 01:41:00+00:00,T-6,9.0,96-97°F,96.0,0.002,0.001970443349753695
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 01:41:00+00:00,T-6,10.0,98°F or higher,98.0,0.002,0.001970443349753695
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 06:41:00+00:00,T-1,0.0,79°F or below,79.0,0.0015,0.001477832512315271
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 06:41:00+00:00,T-1,1.0,80-81°F,80.0,0.0015,0.001477832512315271
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 06:41:00+00:00,T-1,2.0,82-83°F,82.0,0.0015,0.001477832512315271
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 06:41:00+00:00,T-1,3.0,84-85°F,84.0,0.0015,0.001477832512315271
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 06:41:00+00:00,T-1,4.0,86-87°F,86.0,0.0015,0.001477832512315271
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 06:41:00+00:00,T-1,5.0,88-89°F,88.0,0.0015,0.001477832512315271
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 06:41:00+00:00,T-1,6.0,90-91°F,90.0,0.002,0.001970443349753695
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 06:41:00+00:00,T-1,7.0,92-93°F,92.0,0.9984999999999999,0.983743842364532
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 06:41:00+00:00,T-1,8.0,94-95°F,94.0,0.0015,0.001477832512315271
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 06:41:00+00:00,T-1,9.0,96-97°F,96.0,0.002,0.001970443349753695
highest-temperature-in-denver-on-june-6-2026,Denver,2026-06-06,2026-06-07 06:41:00+00:00,T-1,10.0,98°F or higher,98.0,0.002,0.001970443349753695
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,2026-06-05 16:48:00+00:00,T-24,0.0,25°C or below,25.0,0.002,0.0020273694880892043
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,2026-06-05 16:48:00+00:00,T-24,1.0,26°C,26.0,0.002,0.0020273694880892043
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,2026-06-05 16:48:00+00:00,T-24,2.0,27°C,27.0,0.0015,0.001520527116066903
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,2026-06-05 16:48:00+00:00,T-24,3.0,28°C,28.0,0.0015,0.001520527116066903
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,2026-06-05 16:48:00+00:00,T-24,4.0,29°C,29.0,0.0015,0.001520527116066903
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,2026-06-05 16:48:00+00:00,T-24,5.0,30°C,30.0,0.0045000000000000005,0.00456158134820071
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,2026-06-05 16:48:00+00:00,T-24,6.0,31°C,31.0,0.0085,0.008616320324379118
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,2026-06-05 16:48:00+00:00,T-24,7.0,32°C,32.0,0.045,0.04561581348200709
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,2026-06-05 16:48:00+00:00,T-24,8.0,33°C,33.0,0.14500000000000002,0.1469842878864673
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,2026-06-05 16:48:00+00:00,T-24,9.0,34°C,34.0,0.35,0.3547896604156107
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,2026-06-05 16:48:00+00:00,T-24,10.0,35°C or higher,35.0,0.42500000000000004,0.43081601621895593
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,2026-06-06 10:48:00+00:00,T-6,0.0,25°C or below,25.0,0.002,0.0019646365422396855
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,2026-06-06 10:48:00+00:00,T-6,1.0,26°C,26.0,0.002,0.0019646365422396855
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,2026-06-06 10:48:00+00:00,T-6,2.0,27°C,27.0,0.0015,0.0014734774066797642
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,2026-06-06 10:48:00+00:00,T-6,3.0,28°C,28.0,0.0015,0.0014734774066797642
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,2026-06-06 10:48:00+00:00,T-6,4.0,29°C,29.0,0.0015,0.0014734774066797642
